Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage,# Kills,Notes
C1E001,2:51:24,Grog,Damage,15,,,15 to Naga,,
C1E001,2:51:34,Vex'ahlia,Damage,6,,,6,,Hunter's Mark
C1E001,2:51:45,Grog,Athletics,12,5,,,,
C1E001,2:54:25,Keyleth,Constitution Save,Nat1,1,,31 Poison to Keyleth,,
C1E001,2:55:11,Tiberius,Constitution Save,16,9,,14 Poison to Tiberius,,
C1E001,2:56:10,Vax'ildan,Attack,30,19,Y,,,Dagger with Sneak Attack
C1E001,2:56:30,Vax'ildan,Attack,26,16,,,,Dagger
C1E001,2:56:45,Vax'ildan,Damage,44,,,44 to Naga,,
C1E001,2:57:00,Vax'ildan,Damage,6,,,6 to Naga,,
C1E001,2:58:11,Keyleth,Damage,8,,,4 to Naga,,Thunderwave
C1E001,3:00:07,Scanlan,Damage,24,,,24 Lightning to Naga,1,"Lightning Bolt, FIRST HDYWTDT"
C1E002,0:16:32,Keyleth,Constitution Save,Unknown,Unknown,,,,Disregarded due to advantage
C1E002,0:16:32,Keyleth,Constitution Save,13,10,,,,With advantage
C1E002,0:22:27,Percy,Persuasion,14,12,,,,
C1E002,0:24:00,Vax'ildan,Sleight of Hand,11,2,,,,
C1E002,0:24:25,Vax'ildan,Inspiration,8,,,,,
C1E002,0:26:30,,,,,,,,"Several rolls for healing from rest, no values given"
C1E002,0:26:50,Vex'ahlia,Investigation,25,23,,,,Bad math or actually proficient?
C1E002,0:42:07,Vex'ahlia,Perception,Nat1,1,,,,
C1E002,0:42:10,Percy,Perception,10,3,,,,Assists Vex
C1E002,0:42:10,Vax'ildan,Perception,10,3,,,,This one was mouthed.
C1E002,0:44:00,Vax'ildan,Dexterity Save,12,3,,,,
C1E002,0:45:38,Tiberius,Arcana,13,7,,,,
C1E002,0:51:38,Tiberius,Persuasion,11,2,,,,
C1E002,0:53:45,Keyleth,Persuasion,8,8,,,,
C1E002,0:53:45,Keyleth,Persuasion,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E002,0:55:38,Vax'ildan,Persuasion,Nat20,20,,,,Disregarded due to disadvantage
C1E002,0:55:38,Vax'ildan,Persuasion,19,17,,,,
C1E002,1:02:54,Vex'ahlia,Persuasion,15,8,,,,
C1E002,1:11:00,Percy,Tinkering,10,Unknown,,,,"Trapping Arrow,
Includes inspiration die, amount not given"
C1E002,1:15:30,Percy,Arcana,15,12,,,,
C1E002,1:15:52,Vex'ahlia,Investigation,Nat1,1,,,,
C1E002,1:15:52,Keyleth,Investigation,5,3,,,,Assists Vex
C1E002,1:22:25,Vex'ahlia,Investigation,17,15,,,,
C1E002,1:26:25,Vax'ildan,Stealth,29,16,,,,
C1E002,1:43:54,Vex'ahlia,Stealth,17,8,,,,
C1E002,1:43:54,Vax'ildan,Stealth,18,5,,,,
C1E002,1:44:44,Vax'ildan,Perception,18,8,,,,
C1E002,1:46:39,Keyleth,Perception,12,2,,,,
C1E002,1:50:45,Scanlan,Cutting Words,3,,,,,
C1E002,1:51:40,Grog,Initiative,14,12,,,,
C1E002,1:51:40,Keyleth,Initiative,17,15,,,,
C1E002,1:51:40,Percy,Initiative,17,10,,,,
C1E002,1:51:40,Scanlan,Initiative,19,19,,,,
C1E002,1:51:40,Tiberius,Initiative,13,10,,,,
C1E002,1:51:40,Vax'ildan,Initiative,15,10,,,,
C1E002,1:51:40,Vex'ahlia,Initiative,24,19,,,,
C1E002,1:52:54,Vex'ahlia,Charisma Save,13,8,,,,
C1E002,1:55:09,Scanlan,Healing,9,,,,,"Healing Word, Percy heals 5 points"
C1E002,1:55:57,Percy,Attack,30,19,,,,Disregarded due to disadvantage
C1E002,1:55:57,Percy,Attack,25,19,,,,Pepperbox Ice Shot (with disadvantage)
C1E002,1:56:28,Percy,Damage,14,,,14,,
C1E002,1:56:48,Percy,Attack,Unknown,Unknown,,,,Pepperbox Misfire
C1E002,1:59:30,Keyleth,Charisma Save,16,16,,,,
C1E002,1:59:45,Keyleth,Attack,14,9,,,,Claw Attack
C1E002,1:59:55,Keyleth,Attack,19,14,,,,Claw Attack
C1E002,2:00:09,Keyleth,Attack,18,13,,,,Claw Attack
C1E002,2:00:20,Keyleth,Damage,20,,,25,,
C1E002,2:03:14,Vax'ildan,Attack,20,9,,,,Dagger with Sneak Attack
C1E002,2:03:14,Vax'ildan,Attack,18,8,,,,Flame-Tongue Dagger
C1E002,2:03:19,Vax'ildan,Damage,36,,,36,,
C1E002,2:04:00,Vax'ildan,Damage,3,,,3,,
C1E002,2:05:44,Grog,Charisma Save,11,10,,,,With advantage
C1E002,2:05:44,Grog,Charisma Save,5,4,,,,Disregarded due to advantage
C1E002,2:06:22,Grog,Attack,Nat1,1,,,,Great Axe
C1E002,2:07:34,Tiberius,Arcana,17,11,,,,
C1E002,2:09:20,Vex'ahlia,Attack,23,12,,,,Disregarded due to disadvantage
C1E002,2:09:20,Vex'ahlia,Attack,23,12,,,,Arrow through Blood-Seeking Bow and HM (with disadvantage)
C1E002,2:09:40,Vex'ahlia,Attack,Unknown,Unknown,,,,Arrow
C1E002,2:09:40,Vex'ahlia,Attack,26,15,,,,
C1E002,2:10:10,Vex'ahlia,Damage,29,,,29,,
C1E002,2:11:50,Scanlan,Attack,19,10,,,,Roll for Polymorph
C1E002,2:13:30,Percy,Attack,14,3,,,,Pepperbox Fire Shot (with disadvantage)
C1E002,2:13:30,Percy,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E002,2:13:50,Percy,Inspiration,3,,,,,
C1E002,2:14:00,Percy,Damage,17,,,17,,
C1E002,2:16:12,Keyleth,Attack,Nat20,20,,,,Grapple – no crit effect
C1E002,2:17:01,Keyleth,Athletics,20,14,,,,
C1E002,2:19:25,Vax'ildan,Dexterity,21,12,,,,
C1E002,2:20:22,Vax'ildan,Acrobatics,29,16,,,,
C1E002,2:20:39,Vax'ildan,Attack,15,4,,,,Dagger
C1E002,2:21:20,Grog,Attack,26,18,,,,Great Axe
C1E002,2:21:20,Grog,Attack,26,18,,,,Great Axe
C1E002,2:21:20,Grog,Attack,25,17,,,,Great Axe
C1E002,2:22:05,Grog,Damage,8,,,8,,
C1E002,2:22:05,Grog,Damage,16,,,6,,
C1E002,2:22:05,Grog,Damage,10,,,10,1,
C1E002,2:23:49,Tiberius,Attack,10,1,,,,Firebolt
C1E002,2:23:49,Tiberius,Attack,11,2,,,,Disregarded due to disadvantage
C1E002,2:24:33,Vex'ahlia,Attack,20,9,,,,Disregarded due to disadvantage
C1E002,2:24:33,Vex'ahlia,Attack,20,9,,,,Arrow
C1E002,2:24:38,Vex'ahlia,Attack,19,8,,,,Arrow (with disadvantage)
C1E002,2:24:38,Vex'ahlia,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E002,2:25:03,Vex'ahlia,Damage,24,,,24,,
C1E002,2:26:05,Scanlan,Damage,28,,,14,,Lightning Bolt
C1E002,2:27:05,Percy,Attack,24,13,,,,Pepperbox (with disadvantage)
C1E002,2:27:05,Percy,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E002,2:27:15,Percy,Damage,6,,,6,,
C1E002,2:27:22,Percy,Attack,Unknown,19,,11,,Pepperbox (with disadvantage)
C1E002,2:27:22,Percy,Attack,Nat20,20,Y,,,Disregarded due to disadvantage
C1E002,2:29:15,Keyleth,Damage,11,,,6,,Call Lightning
C1E002,2:31:02,Vax'ildan,Attack,Unknown,Unknown,,,,Dagger
C1E002,2:31:04,Vax'ildan,Attack,27,17,,,,Flame-Tongue Dagger with Sneak Attack
C1E002,2:31:30,Vax'ildan,Damage,24,,,24,1,HDYWTDT
C1E002,2:33:18,Keyleth,Healing,20,,,,,Healing Scanlan
C1E002,2:35:35,Vax'ildan,Stealth,29,16,,,,
C1E002,2:39:08,Vex'ahlia,Stealth,Nat20,20,,,,Disregarded due to disadvantage
C1E002,2:39:08,Vex'ahlia,Stealth,22,13,,,,With disadvantage
C1E002,2:41:12,Scanlan,Healing,Unknown,,,,,"Potion on self, rolls not announced"
C1E002,2:44:37,Grog,Intelligence Save,6,8,,,,Grog unconscious due to failing INT save
C1E002,2:46:25,Tiberius,Damage,29,,,15 (29/2) Ice,1,Glacial Blast
C1E002,2:47:52,Vex'ahlia,Attack,27,16,,,,Arrow
C1E002,2:48:13,Vex'ahlia,Damage,11,,,11,,
C1E002,2:48:18,Vex'ahlia,Attack,23,12,,,,Arrow
C1E002,2:48:25,Vex'ahlia,Damage,24,,,24,1,
C1E002,2:51:52,Percy,Attack,Unknown,19,Y,,,"Pepperbox with Sharp Shooter, 
Assumed Nat19 due to “I crit” not “TWENTY”"
C1E002,2:52:14,Percy,Damage,Unknown,,,25,,"Incapacitated (non-lethal damage done over max HP) – 
unknown due to crit-inclusive value announced by Taliesin)"
C1E002,2:53:18,Keyleth,Damage,22,,,22,,Call Lightning
C1E002,2:54:36,Vax'ildan,Constitution,14,14,,,,With advantage
C1E002,2:54:36,Vax'ildan,Constitution,Unknown,Unknown,,,,Disregarded due to advantage
C1E002,2:54:52,Vax'ildan,Inspiration,1,,,,,
C1E002,2:56:23,Tiberius,Attack,14,5,,,,Firebolt
C1E002,2:56:48,Vex'ahlia,Attack,23,12,,,,Arrow
C1E002,2:56:54,Vex'ahlia,Damage,8,,,,1,
C1E002,2:57:21,Vex'ahlia,Intimidation,8,5,,,,
C1E003,0:05:54,Percy,Medicine,19,16,,,,
C1E003,0:11:33,Percy,Intimidation,21,19,,,,
C1E003,0:12:32,Percy,History,14,7,,,,
C1E003,0:14:49,Vex'ahlia,Intimidation,14,11,,,,"Disregarded due to advantage 
(given due to Vax assist)"
C1E003,0:14:59,Vax'ildan,Assist,19,19,,,,
C1E003,0:15:04,Vex'ahlia,Intimidation,14,11,,,,With advantage
C1E003,0:15:21,Scanlan,Insight,Unknown,Unknown,,,,
C1E003,0:15:33,Vex'ahlia,Insight,24,18,,,,
C1E003,0:18:59,Scanlan,Arcana,Unknown,Unknown,,,,
C1E003,0:19:02,Tiberius,Arcana,24,18,,,,
C1E003,0:21:36,Keyleth,Religion,8,6,,,,
C1E003,0:23:30,Vax'ildan,Religion,10,8,,,,
C1E003,0:23:30,Vex'ahlia,Religion,Unknown,Unknown,,,,
C1E003,0:24:16,Tiberius,Religion,20,18,,,,
C1E003,0:30:14,Keyleth,Wisdom,8,2,,,,Disregarded due to advantage
C1E003,0:30:26,Keyleth,Wisdom,29,17,,,,With advantage
C1E003,0:30:33,Keyleth,Inspiration,6,,,,,
C1E003,0:36:25,Vex'ahlia,Survival,19,13,,,,
C1E003,0:38:39,Vax'ildan,Stealth,Nat20,20,,,,
C1E003,0:39:45,Vex'ahlia,Stealth,16,7,,,,
C1E003,0:50:25,Tiberius,Arcana,20,14,,,,
C1E003,0:53:00,Grog,Stealth,6,4,,,,
C1E003,0:53:00,Keyleth,Stealth,15,13,,,,
C1E003,0:53:00,Percy,Stealth,12,7,,,,
C1E003,0:53:00,Scanlan,Stealth,20,18,,,,
C1E003,0:53:00,Tiberius,Stealth,11,8,,,,
C1E003,0:53:00,Vax'ildan,Stealth,30,17,,,,
C1E003,0:53:00,Vex'ahlia,Stealth,Nat20,20,,,,
C1E003,0:55:48,Keyleth,Perception,Unknown,Unknown,,,,
C1E003,0:57:51,Vax'ildan,Stealth,29,16,,,,
C1E003,0:57:51,Vex'ahlia,Stealth,17,8,,,,
C1E003,0:57:51,Scanlan,Stealth,13,11,,,,
C1E003,1:04:43,Scanlan,Stealth,18,16,,,,
C1E003,1:04:43,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C1E003,1:07:00,Scanlan,Stealth,19,17,,,,With advantage
C1E003,1:07:00,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C1E003,1:14:20,Scanlan,Stealth,21,19,,,,With advantage
C1E003,1:14:20,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C1E003,1:14:35,Scanlan,Survival,17,17,,,,
C1E003,1:28:30,Tiberius,Intelligence,14,12,,,,
C1E003,1:30:07,Percy,Intelligence,Unknown,Unknown,,,,
C1E003,1:30:30,Keyleth,Intelligence,17,15,,,,
C1E003,1:53:15,Percy,Attack,Unknown,Unknown,,,,"Bad News, Misfire"
C1E003,1:53:25,Vex'ahlia,Attack,Unknown,Unknown,,,,Arrow
C1E003,1:54:14,Vax'ildan,Dexterity,Nat1,1,,,,Disregarded due to advantage
C1E003,1:54:14,Vax'ildan,Dexterity,28,19,,,,With advantage
C1E003,1:54:55,Vax'ildan,Wisdom Save,7,5,,,,
C1E003,1:56:26,Tiberius,Athletics,21,20,,,,Unannounced nat20 or bad math/mod
C1E003,1:58:05,Percy,Attack,23,11,,,,Bad News
C1E003,1:58:27,Percy,Damage,20,,,20 to Duergar,,
C1E003,1:59:58,Percy,Attack,15,3,,,,Bad News
C1E003,2:00:43,Vex'ahlia,Perception,Nat20,20,,,,
C1E003,2:14:27,Keyleth,Stealth,18,16,,,,
C1E003,2:14:27,Keyleth,Stealth,15,13,,,,Disregarded due to advantage
C1E003,2:14:27,Vex'ahlia,Stealth,15,6,,,,With advantage
C1E003,2:15:30,Vex'ahlia,Survival,16,10,,,,
C1E003,2:20:09,Keyleth,Persuasion,9,9,,,,With disadvantage
C1E003,2:20:09,Keyleth,Persuasion,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E003,2:22:06,Vex'ahlia,Persuasion,19,12,,,,
C1E003,2:22:10,Grog,Insight,16,16,,,,
C1E003,2:29:23,Keyleth,Insight,18,8,,,,
C1E003,2:29:23,Percy,Insight,Nat1,1,,,,
C1E003,2:29:23,Scanlan,Insight,13,13,,,,
C1E003,2:29:23,Tiberius,Insight,14,17,,,,
C1E003,2:29:23,Vax'ildan,Insight,4,2,,,,
C1E003,2:29:23,Vex'ahlia,Insight,24,17,,,,
C1E003,2:30:56,Scanlan,Persuasion,17,8,,,,
C1E003,2:31:44,Scanlan,Performance,18,5,,,,
C1E004,0:19:14,Scanlan,Stealth,9,7,,,,
C1E004,0:19:14,Vax'ildan,Stealth,29,16,,,,
C1E004,0:20:35,Vax'ildan,Perception,11,1,,,,
C1E004,0:20:35,Scanlan,Perception,Unknown,Unknown,,,,Bad
C1E004,0:20:35,Scanlan,Perception,Unknown,Unknown,,,,Bad
C1E004,0:22:59,Pike,Religion,Nat20,20,,,,
C1E004,0:39:32,Scanlan,Insight,13,13,,,,
C1E004,0:39:55,Pike,Insight,Nat20,20,,,,
C1E004,0:58:24,Percy,Persuasion,16,10,,,,
C1E004,1:07:38,Percy,Tinkering,17,8,,,,Trapping Arrow
C1E004,1:10:35,Grog,Stealth,Nat1,1,,,,
C1E004,1:10:35,Keyleth,Stealth,19,17,,,,
C1E004,1:10:35,Percy,Stealth,18,13,,,,
C1E004,1:10:35,Pike,Stealth,Nat1,1,,,,
C1E004,1:10:35,Scanlan,Stealth,14,12,,,,
C1E004,1:10:35,Tiberius,Stealth,16,13,,,,
C1E004,1:10:35,Vax'ildan,Stealth,20,7,,,,
C1E004,1:13:00,Vax'ildan,Investigation,12,9,,,,
C1E004,1:25:10,Grog,Stealth,27,15,,,,
C1E004,1:25:10,Keyleth,Stealth,18,6,,,,With disadvantage and Pass Without a Trace
C1E004,1:25:10,Keyleth,Stealth,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E004,1:25:10,Percy,Stealth,22,7,,,,With Pass Without a Trace
C1E004,1:25:10,Pike,Stealth,23,13,,,,With Pass Without a Trace
C1E004,1:25:10,Scanlan,Stealth,15,3,,,,With Pass Without a Trace
C1E004,1:25:10,Tiberius,Stealth,18,5,,,,With Pass Without a Trace
C1E004,1:25:10,Vax'ildan,Stealth,28,5,,,,With Pass Without a Trace
C1E004,1:30:35,Grog,Stealth,23,11,,,,With Pass Without a Trace
C1E004,1:30:35,Keyleth,Stealth,Nat1,1,,,,With Pass Without a Trace
C1E004,1:30:35,Percy,Stealth,29,14,,,,With Pass Without a Trace
C1E004,1:30:35,Pike,Stealth,21,11,,,,With Pass Without a Trace
C1E004,1:30:35,Scanlan,Stealth,30,18,,,,With Pass Without a Trace
C1E004,1:30:35,Tiberius,Stealth,20,7,,,,With Pass Without a Trace
C1E004,1:30:35,Vax'ildan,Stealth,28,5,,,,With Pass Without a Trace
C1E004,1:34:00,Vax'ildan,Acrobatics,18,5,,,,
C1E004,1:36:40,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C1E004,1:36:40,Scanlan,Stealth,13,11,,,,With advantage
C1E004,1:36:40,Vax'ildan,Stealth,28,15,,,,
C1E004,1:40:05,Vax'ildan,Dexterity,Unknown,Unknown,,,,Disregarded due to advantage
C1E004,1:40:05,Vax'ildan,Dexterity,17,12,,,,With advantage
C1E004,1:41:00,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C1E004,1:41:00,Vax'ildan,Attack,26,15,Y,,,Dagger with advantage
C1E004,1:42:00,Vax'ildan,Damage,Unknown,,,52 to Duergar Guard,,
C1E004,1:43:20,Vax'ildan,Perception,28,18,,,,
C1E004,1:43:20,Scanlan,Perception,9,9,,,,
C1E004,1:44:24,Scanlan,Stealth,Unknown,Unknown,,,,
C1E004,1:44:24,Scanlan,Stealth,19,17,,,,
C1E004,1:44:24,Vax'ildan,Stealth,Unknown,Unknown,,,,
C1E004,1:44:24,Vax'ildan,Stealth,29,16,,,,
C1E004,1:45:08,Scanlan,Attack,19,17,,,,Added dex mod because not proficient in goblin shit buckets
C1E004,1:46:22,Vax'ildan,Attack,29,19,Y,,,Poison Dagger with advantage
C1E004,1:46:22,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C1E004,1:46:35,Vax'ildan,Damage,Unknown,,,62 to Illithid,,Only total damage w/ crit incl given
C1E004,1:48:12,Grog,Initiative,18,16,,,,
C1E004,1:48:12,Keyleth,Initiative,9,7,,,,
C1E004,1:48:12,Percy,Initiative,19,12,,,,
C1E004,1:48:12,Pike,Initiative,9,9,,,,
C1E004,1:48:12,Scanlan,Initiative,14,14,,,,
C1E004,1:48:12,Tiberius,Initiative,16,13,,,,
C1E004,1:48:12,Vax'ildan,Initiative,Nat20,20,,,,
C1E004,1:48:12,Vex'ahlia,Initiative,21,16,,,,
C1E004,1:50:12,Vax'ildan,Attack,28,18,,,,Flame-Tongue Dagger
C1E004,1:50:25,Vax'ildan,Damage,9,,,9 to Illithid,,
C1E004,1:50:48,Vax'ildan,Attack,24,14,,,,Dagger
C1E004,1:50:58,Vax'ildan,Damage,8,,,8 to Illithid,1,
C1E004,1:54:13,Grog,Strength,15,11,,,,With advantage
C1E004,1:54:13,Grog,Strength,Unknown,Unknown,,,,Disregarded due to advantage
C1E004,1:54:37,Grog,Damage,9,,,9 to Roof,,
C1E004,1:55:15,Grog,Acrobatics,21,19,,,,
C1E004,1:55:21,Pike,Acrobatics,6,6,,8 Fall to Pike,,With disadvantage
C1E004,1:55:21,Pike,Acrobatics,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E004,1:55:58,Vex'ahlia,Acrobatics,12,3,,8 Fall to Vex'ahlia,,
C1E004,1:55:58,Percy,Acrobatics,20,15,,,,
C1E004,1:57:05,Percy,Attack,Nat20,20,Y,,,Pepperbox
C1E004,1:57:37,Percy,Damage,Unknown,,,19 to General,,only total damage w/ crit incl given
C1E004,1:58:18,Vex'ahlia,Attack,15,4,,,,Lightning Arrow
C1E004,1:59:08,Vex'ahlia,Attack,25,14,,,,Arrow
C1E004,1:59:21,Vex'ahlia,Damage,10,,,10 to General,,
C1E004,2:05:18,Tiberius,Damage,27,,,81 (27 to Soldiers 1-3),3,Grand Columns
C1E004,2:06:33,Tiberius,Damage,29,,,14 to General,,Blight
C1E004,2:08:28,Scanlan,Intimidation,11,2,,,,
C1E004,2:11:00,Grog,Stealth,14,12,,,,
C1E004,2:11:00,Keyleth,Stealth,Nat1,1,,,,
C1E004,2:11:00,Percy,Stealth,23,18,,,,
C1E004,2:11:00,Pike,Stealth,17,17,,,,
C1E004,2:11:00,Scanlan,Stealth,Nat20,20,,,,
C1E004,2:11:00,Tiberius,Stealth,5,2,,,,
C1E004,2:11:00,Vax'ildan,Stealth,18,5,,,,
C1E004,2:11:00,Vex'ahlia,Stealth,19,10,,,,
C1E004,2:11:58,Percy,Acrobatics,18,13,,,,
C1E004,2:14:32,Pike,Attack,25,17,,,,Guiding Bolt
C1E004,2:15:05,Pike,Damage,16,,,16 to Bulette,,
C1E004,2:16:09,Pike,Healing,Unknown,,,,,
C1E004,2:17:42,Vax'ildan,Attack,20,9,,,,Dagger Sneak Attack
C1E004,2:17:50,Vax'ildan,Damage,22,,,22 to Bulette,,
C1E004,2:19:34,Grog,Attack,17,9,,,,Great Axe
C1E004,2:19:34,Grog,Attack,19,11,,,,Great Axe
C1E004,2:19:34,Grog,Attack,24,16,,,,Great Axe
C1E004,2:20:10,Grog,Damage,14,,,14 to Bulette,,
C1E004,2:20:10,Grog,Damage,21,,,21 to Bulette,,
C1E004,2:20:10,Grog,Damage,22,,,22 to Bulette,,
C1E004,2:21:32,Vex'ahlia,Attack,18,7,,,,Hail of Thorns
C1E004,2:22:03,Vex'ahlia,Damage,25,,,25 to Bulette,,
C1E004,2:22:22,Vex'ahlia,Attack,Nat20,20,Y,,,Arrow
C1E004,2:22:31,Vex'ahlia,Damage,Unknown,,,15 to Bulette,,
C1E004,2:23:38,Percy,Attack,19,7,,,,Pepperbox Dead Shot (with advantage)
C1E004,2:23:38,Percy,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C1E004,2:24:14,Percy,Damage,35,,,35 to Bulette,,
C1E004,2:27:12,Tiberius,Damage,6,,,6 to Bulette,,"Telekinesis, -5 to Bullette Armor Class"
C1E004,2:27:49,Tiberius,Attack,Unknown,Unknown,,,,Firebolt with Metamagic Wand
C1E004,2:28:45,Tiberius,Damage,,,,10 to Bulette,,"Empowered spell, no roll"
C1E004,2:32:22,Keyleth,Attack,19,12,,,,Charge as rhino
C1E004,2:32:43,Keyleth,Damage,14,,,14 Crushing to Bulette,,
C1E004,2:34:13,Keyleth,Attack,19,12,,,,Attack of Opportunity
C1E004,2:34:13,Vax'ildan,Attack,24,13,,,,Attack of Opportunity
